"BRWA","BWWA","GWWA"
"V262",0,0.1667,0.1325
"V263",0.1111,0,0.0442
"V264",0,0.1034,0.0531
"V265",0.1111,0.069,0.0357
"V266",0,0.0833,0.0196
"V267",0,0.0769,0.0588
"V268",0,0,0.0851
"V269",0.1111,0.2414,0.2124
"V270",0.4444,0.2143,0.099
"V271",0.2222,0.0741,0.04
"V272",0,0.0741,0.03
"V273",0.25,0.037,0.07
"V274",0,0.1429,0.049
"V275",0.375,0,0.0865
"V276",0,0.1429,0.0935
"V277",0.5556,0.4286,0.4312
"V278",0.1111,0.1034,0.0265
"V279",0,0.1034,0.1273
"V280",0.3333,0.0357,0.0265
"V281",0,0,0.0215
"V282",0,0,0.0632
"V283",0,0.037,0.0748
"V284",0,0.125,0.0333
"V285",0.4286,0.375,0.3
"V286",0,0.2143,0.0088
"V287",0,0,0.0619
"V288",0,0.25,0.1667
"V289",0.3333,0.4483,0.3894
"V290",0.2222,0,0.0973
"V291",0.1111,0.0345,0.0442
"V292",0,0.08,0.0472
"V293",0,0.0769,0.0182
"V294",0.2222,0.2069,0.1593
"V295",0.2222,0.0345,0.0885
"V296",0.2222,0.3103,0.3628
"V297",0.3333,0.2414,0.3009
"V298",0.2,0.3158,0.0959
"V299",0.1667,0,0.0933
"V300",0,0.0556,0.1053
"V301",0.1667,0.0714,0.0435
"V302",0,0.0345,0.0804
"V303",0.2,0.3529,0.1875
"V304",0,0.04,0.0283
"V305",0.1111,0.0357,0.0796
"V306",0,0,0.045
"V307",0,0.0357,0.087
"V308",0.2222,0,0.115
"V309",0,0.0667,0.1273
"V310",0,0.0741,0.0096
"V311",0.25,0,0.0377
"V312",0,0.1667,0.0673
"V313",0.1429,0.4,0.1942
"V314",0,0.037,0.06
"V315",0,0.0741,0.1532
"V316",0.2,0,0.0943
"V317",0.25,0.1818,0.1569
"V318",0,0,0.0566
"V319",0,0,0.0566
"V320",0,0.0909,0.1717
"V321",0,0,0.0526
"V322",0,0.2857,0.2222
"V323",0,0.0455,0.0714
"V324",0.4444,0.3793,0.2832
"V325",0.4444,0.3793,0.2832
"V326",0,0.2,0.0357
"V327",0.625,0.75,0.5122
"V328",0,0,0.1294
"V329",0.25,0.1364,0.1446
"V330",0.3333,0.4643,0.3363
"V331",0,0.0345,0.0973
"V332",0,0.037,0.0316
"V333",0.8,0.9286,0.9868
"V334",0.25,0.0769,0.1308
"V335",0,0.1667,0.0561
"V336",1,0.8182,0.6471
"V337",0.1111,0.1034,0.0442
"V338",0.3333,0.3214,0.3274
"V339",0,0.1786,0.125
"V340",0.1111,0,0.045
"V341",0.125,0.1304,0.0204
"V342",0,0,0.0532
"V343",0,0.0952,0.0316
"V344",0.2222,0.3103,0.2321
"V345",0.1111,0.1379,0.0357
"V346",0,0.069,0.0446
"V347",0,0.069,0.0442
"V348",0,0.1071,0.0708
"V349",0,0.1071,0.0177
"V350",0.6667,0.4483,0.5545
"V351",0,0,0.0531
"V352",0.1111,0.0345,0.0619
"V353",0.1111,0.0345,0.0364
"V354",0,0.069,0.1327
"V355",0,0.0345,0.0885
"V356",0.2222,0.3214,0.2793
"V357",0.125,0.1053,0.0253
"V358",0.25,0.2857,0.2179
"V359",0.5,0,0.1569
"V360",0.1111,0.0714,0.0708
"V361",0.625,0.5172,0.4234
"V362",0,0.0345,0.0442
"V363",0.5556,0.4138,0.4248
"V364",1,0.3125,0.1429
"V365",0.3333,0.1579,0.0694
"V366",0,0.069,0.0357
"V367",0,0.0357,0.0536
"V368",0,0.0357,0.0536
"V369",0,0,0.0536
"V370",0,0.0357,0.0536
"V371",0,0.6429,0.8824
"V372",0.1111,0.0345,0.0442
"V373",0.4444,0.5,0.3186
"V374",0,0.0345,0.0885
"V375",0,0.0455,0.0521
"V376",0,0.0435,0.0938
"V377",0.5,0.6364,0.3448
"V378",0,0.1053,0.1609
"V379",0.25,0.2692,0.2871
"V380",0,0.0455,0.0449
"V381",0.1111,0.2143,0.2212
"V382",0.2,0.1,0.0816
"V383",0.5714,0.4,0.3725
"V384",0.2,0.3846,0.4821
"V385",0.2222,0,0.0092
"V386",0,0,0.0571
"V387",0,0,0.027
"V388",0,0,0.0784
"V389",0,0.0909,0.0893
"V390",0.5714,0.4286,0.2364
"V391",0.1111,0.2069,0.0265
"V392",0,0,0.0619
"V393",0.5,0.6667,0.5472
"V394",0,0.5833,0.3673
"V395",0.4,0.1905,0.2143
"V396",0.6,0.2727,0.2791
"V397",0.2,0,0.039
"V398",0.4,0,0.0667
"V399",0,0.1,0.2073
"V400",0.5,0.2273,0.2529
"V401",0.5,0.2273,0.2644
"V402",0.5,0.3333,0.4237
"V403",0.25,0.4138,0.3482
"V404",0.25,0.4483,0.3125
"V405",0.25,0.4483,0.3091
"V406",0.25,0.4483,0.3214
"V407",0.2222,0.1034,0.2035
"V408",0.1111,0,0.0619
"V409",0,0.0435,0.0606
"V410",0.25,0.0417,0.18
"V411",0.2857,0.2083,0.0686
"V412",0.125,0.0833,0.0753
"V413",0.1667,0.2273,0.2778
"V414",0,0.0435,0.0707
"V415",0.1429,0.05,0.0505
"V416",0,0.0833,0.0408
"V417",0,0.0909,0.033
"V418",0,0.0357,0.028
"V419",0.5556,0.5357,0.4513
"V420",0.2222,0.0345,0.0804
"V421",0.125,0.2143,0.2212
"V422",0,0.3448,0.2124
"V423",0,0.1579,0.127
"V424",0,0.0345,0.0619
"V425",0.1111,0,0.0796
"V426",0.3333,0.2143,0.1284
"V427",0.1111,0.4828,0.2389
"V428",0,0,0.0714
"V429",0,0.037,0.0092
"V430",0.1111,0.1429,0.0642
"V431",0,0,0.0367
"V432",0,0,0.055
"V433",0.2222,0.1429,0.1182
"V434",0,0.0345,0.0463
"V435",0,0,0.0741
"V436",0,0,0.0909
"V437",0.125,0.4828,0.2991
"V438",0,0.0435,0.0787
"V439",0.4286,0.1429,0.2921
"V440",0.2,0.0833,0.0211
"V441",0,0,0.0722
"V442",0.4286,0.0435,0.0417
"V443",0.2,0.1818,0.122
"V444",0,0,0.1
"V445",0.2,0,0.0375
"V446",0,0,0
"V447",0,0.25,0.1343
"V448",0,0.0667,0.0566
"V449",0,0.2667,0.1509
"V450",0,0.2,0.0926
"V451",0,0.25,0.1636
"V452",0,0.3125,0.2456
"V453",0.75,0.8462,0.8113
"V454",0.6667,0.6364,0.7358
"V455",0.75,0.8333,0.8039
"V456",0.5,0.7273,0.8367
"V457",0.1429,0.4,0.1977
"V458",0,0,0.0196
"V459",0,0,0.06
"V460",0,0,0
"V461",0.1111,0.1071,0.027
"V462",0.1111,0.0741,0.027
"V463",0,0.069,0.0531
"V464",0,0.069,0.0536
"V465",0,0.069,0.0442
"V466",0.1111,0.0345,0.0442
"V467",0,0.069,0.0442
"V468",0.2,0.375,0.3222
"V469",0,0.0357,0.036
"V470",0,0.069,0.045
"V471",0,0.0833,0.0762
"V472",0.5,0.2083,0.2453
"V473",0.125,0.0417,0.0577
"V474",0.2,0.1538,0.0556
"V475",0,0.1538,0.04
"V476",0,0,0.0816
"V477",0.1667,0.04,0.051
"V478",0.4286,0.32,0.37
"V479",0,0,0.0476
"V480",0,0.0833,0.0635
"V481",0,0.2143,0.129
"V482",0,0.2308,0.0806
"V483",0,0.3571,0.2344
"V484",0,0,0.0429
"V485",0.1111,0.3333,0.2639
"V486",0,0.0476,0.0145
"V487",0,0,0.0571
"V488",0,0.1923,0.0364
"V489",0.125,0.0357,0.0734
"V490",0.3333,0.2,0.1273
"V491",0,0.1071,0.0631
"V492",0,0.0385,0.125
"V493",0.25,0.0357,0.0364
"V494",0.1111,0.1429,0.0901
"V495",0.1111,0.069,0.0727
"V496",0.2222,0.1034,0.1193
"V497",0,0.1379,0.0185
"V498",0.1111,0.069,0.037
"V499",0,0.0345,0.0734
"V500",0.1111,0.0345,0.0459
"V501",0,0.069,0.0577
"V502",0,0,0.0196
"V503",0,0,0.0196
"V504",1,0.5385,0.1961
"V505",0,0.0909,0.1
"V506",0,0,0.0755
"V507",0,0.2,0.02
"V508",0,0.1667,0.1275
"V509",0,0.04,0.0588
"V510",0.1111,0.0833,0.0291
"V511",0,0.0741,0.028
"V512",0,0.0741,0.1321
"V513",0,0,0.0377
"V514",0,0.1071,0.0408
"V515",0.1429,0.3333,0.1263
"V516",0.625,0.4483,0.3523
"V517",0,0.1071,0.1158
"V518",0.1429,0.16,0.0769
"V519",0,0,0.1
"V520",0.2,0.1364,0.0337
"V521",0,0.0909,0.046
"V522",0,0.069,0.115
"V523",0.1111,0.1379,0.1429
"V524",0.1111,0.0714,0.0619
"V525",0,0.0345,0.0467
"V526",0,0.08,0.1031
"V527",0.1429,0.2857,0.3294
"V528",0,0.1364,0.2651
"V529",0,0.0455,0.0795
"V530",0.1667,0.2381,0.1818
"V531",0.1667,0.05,0.0278
"V532",0,0.0526,0.0667
"V533",0.2222,0.1034,0.1681
"V534",0.625,0.5714,0.4234
"V535",0.1111,0.069,0.0536
"V536",0.1111,0.1071,0.0714
"V537",0,0.1481,0.2613
"V538",0.1111,0.1786,0.2727
"V539",0.1111,0.0345,0.0357
"V540",0.1111,0.0714,0.0446
"V541",0,0.0588,0.0543
"V542",0.1429,0.3889,0.4022
"V543",0,0.0345,0.0631
"V544",0,0.0769,0.0294
"V545",0.3333,0.1364,0.2615
"V546",0,0.2222,0.08
"V547",0.2222,0,0.0481
"V548",0.1111,0.1154,0.125
"V549",0,0.1111,0.0294
"V550",0.75,0.5926,0.5426
"V551",0,0.0455,0.0333
"V552",0.1429,0.32,0.2135
"V553",0,0,0.046
"V554",0.3333,0.6897,0.5364
"V555",0,0.069,0.0442
"V556",0.3333,0.4815,0.3982
"V557",0.1111,0.2857,0.2124
"V558",0.1667,0,0.0667
"V559",0,0.0625,0.0137
"V560",0,0.0625,0.0139
"V561",0.6667,0.5,0.4706
"V562",0.4,0.1111,0.1667
"V563",0,0,0.0851
"V564",0,0.1111,0.023
"V565",0.2,0.2143,0.1379
"V566",0.2,0.3333,0.2647
"V567",0.2857,0.2,0.2419
"V568",0.25,0.2667,0.1905
"V569",0.25,0.25,0.1846
"V570",0.3333,0.375,0.5077
"V571",0,0.0714,0.1803
"V572",0.5,0.4706,0.4868
"V573",0,0.25,0.2273
"V574",0.1429,0.2381,0.1957
"V575",0,0,0.0351
"V576",0.3333,0.5,0.2295
"V577",0.3333,0.0769,0.1356
"V578",0.3333,0.1667,0.2
"V579",0.1111,0.4138,0.4615
"V580",0,0.037,0.045
"V581",0,0.0833,0.0515
"V582",0.25,0.0417,0.0606
"V583",0,0.0769,0.0435
"V584",0,0,0.0625
"V585",0.8333,0.0714,0.2692
"V586",0,0,0.0804
"V587",0.375,0.3214,0.1786
"V588",0.3333,0.5455,0.2553
"V589",0.5,0.5385,0.3208
"V590",0.3333,0.4444,0.3846
"V591",0.3333,0.25,0.3846
"V592",0,0.25,0.3725
"V593",0.1111,0.069,0.0354
"V594",0.625,0.6923,0.4565
"V595",0.1111,0.0345,0.0531
"V596",0,0.0833,0.037
"V597",0.5,0,0.1346
"V598",0.4444,0.4643,0.3519
"V599",0,0.1429,0.0185
"V600",0.2222,0.24,0.1376
"V601",0.2857,0,0.0606
"V602",0.1429,0.0833,0.0308
"V603",0,0,0.1194
"V604",0.2,0.0455,0.1348
"V605",0.1667,0.0833,0.0652
"V606",0,0.1818,0.1277
"V607",0,0.1667,0.0426
"V608",0,0,0.0698
"V609",0.1667,0.0833,0.1277
"V610",0,0.3333,0.1406
"V611",0.6667,0.1538,0.3036
"V612",0,0,0.1321
"V613",0,0.0714,0.0566
"V614",0.1111,0.1724,0.1429
"V615",0.2222,0.2963,0.2477
"V616",0.1111,0.1111,0.1261
"V617",0,0.069,0.0364
"V618",0,0,0.0714
"V619",0,0.1579,0.0517
"V620",0,0.0625,0.0862
"V621",0,0,0.0526
"V622",0,0.0667,0.0299
"V623",0.2,0.25,0.0563
"V624",0.1667,0,0.0282
"V625",0,0.0625,0.0563
"V626",0,0,0.0462
"V627",0.1111,0.0345,0.0531
"V628",0.1111,0.069,0.0619
"V629",0.1667,0.25,0.1558
"V630",0.1667,0.2353,0.1806
"V631",0.2857,0.2353,0.1781
"V632",0.4286,0.35,0.642
"V633",0,0,0.0548
"V634",0.1429,0.2353,0.3247
"V635",0,0.0667,0.1045
"V636",0.2857,0.1875,0.2055
"V637",0,0.0667,0.0548
"V638",0,0.1538,0.1333
"V639",0.6667,0.5,0.2698
"V640",0,0,0.0545
"V641",1,0.1818,0.0385
"V642",0.5,0.1667,0.0962
"V643",0.3333,0.4483,0.4911
"V644",0,0.069,0.0619
"V645",0.2,0.0435,0.0597
"V646",0.25,0.2308,0.2373
"V647",0.25,0.2308,0.3167
"V648",0.3333,0.2143,0.2459
"V649",0.25,0.2143,0.1667
"V650",0,0.0667,0.0656
"V651",0.25,0.5556,0.3729
"V652",0,0.6667,0.4483
"V653",0.2,0,0.0149
"V654",0.2,0,0.0556
"V655",0.2,0,0.0588
"V656",0.2,0.0909,0.0286
"V657",0,0.05,0.075
"V658",0,0.0476,0.0658
"V659",0,0,0.0135
"V660",0.1667,0.4762,0.2394
"V661",0.2222,0.037,0.055
"V662",0.5,0.4815,0.3168
"V663",0.6667,0.6154,0.5288
"V664",0.1111,0,0.0093
"V665",0,0,0.0811
"V666",0.1111,0.1111,0.0545
"V667",0.3333,0.4231,0.3271
"V668",0.1111,0.1429,0.0741
"V669",0,0,0.0388
"V670",0,0.2609,0.1442
"V671",0,0.2273,0.1553
"V672",0,0,0.0196
"V673",0,0,0
"V674",0,0.4615,0.3696
"V675",0,0.5,0.3409
"V676",0.2857,0.48,0.4725
"V677",0,0.3043,0.1011
"V678",0,0,0.0435
"V679",0.1429,0.125,0.043
"V680",0.2,0,0.1481
"V681",0.1667,0,0.0441
"V682",0.2,0.3529,0.2879
"V683",0.2,0.2222,0.1404
"V684",0.3333,0.1875,0.1186
"V685",0,0,0.0442
"V686",0.1111,0,0.0991
"V687",0.4286,0.1364,0.1605
"V688",0,0.0435,0.0357
"V689",0.125,0.1481,0.0755
"V690",0.2222,0.0357,0.1132
"V691",0.1111,0.1071,0.0182
"V692",0.125,0,0.1682
"V693",0.8571,0.5385,0.4314
"V694",0.8333,0.4783,0.1919
"V695",0.125,0.0455,0.0288
"V696",0,0.0909,0.1392
"V697",0,0.0435,0.0625
"V698",0.25,0.0435,0.1625
"V699",0,0.0345,0.0374
"V700",0.1111,0.0357,0.0755
"V701",0.2222,0.069,0.0755
"V702",0,0.08,0.0286
"V703",0.4444,0.44,0.4412
"V704",0.125,0,0.0381
"V705",0.1429,0.087,0.0476
"V706",0,0.069,0.1239
"V707",0.2222,0.2414,0.2035
"V708",0.4444,0.4828,0.3036
"V709",0.3333,0.0345,0.0901
"V710",0.8889,0.8571,0.8318
"V711",0.1111,0.1034,0.1062
"V712",0,0.0357,0.0531
"V713",0.3333,0.4828,0.4727
"V714",0,0.1724,0.0268
"V715",0.3333,0.5,0.4375
"V716",0.1429,0.3333,0.4598
"V717",0,0.2273,0.4535
"V718",0,0,0.0633
"V719",0,0.0476,0.0633
"V720",0,0.12,0.0476
"V721",0.3333,0.4,0.3021
"V722",0.3333,0.4348,0.3523
"V723",0.125,0,0.0899
"V724",0,0.125,0.2299
"V725",0,0.069,0.0442
"V726",0.1429,0.0556,0.0562
"V727",0.4286,0.3889,0.3187
"V728",0.2857,0.0526,0.0465
"V729",0,0,0.0111
"V730",0,0,0.0333
"V731",0,0,0.08
"V732",0.5,0.3478,0.1978
"V733",0.25,0.2963,0.3486
"V734",0.25,0.3333,0.3486
"V735",0.5,0.25,0.22
"V736",0,0.0769,0.0638
"V737",0,0.1429,0.125
"V738",0,0.1053,0.0909
"V739",0,0.15,0.0676
"V740",0.3333,0.0588,0.0845
"V741",0,0.1667,0.1268
"V742",0,0.0556,0.0435
"V743",0.2222,0.069,0.0796
"V744",0.6667,0.5882,0.5424
"V745",0,0.0833,0.1132
"V746",1,0.6667,0.6667
"V747",0.2,0.1667,0.1346
"V748",0.4,0.6,0.6875
"V749",0.5,0,0.3214
"V750",0,0.1667,0.22
"V751",0,0,0.1
"V752",0,0,0.098
"V753",0,0,0.0588
"V754",0.25,0.0556,0.0441
"V755",0,0.0667,0.0816
"V756",0,0.2,0.1132
"V757",0,0.0667,0.1346
"V758",0.5,0.4286,0.4746
"V759",0,0.0625,0.0638
"V760",0,0.0714,0.0811
"V761",0,0.0345,0.055
"V762",0,0.1034,0.0727
"V763",0.1429,0.0455,0.0753
"V764",0.1429,0.0476,0.0556
"V765",0,0,0.044
"V766",0,0.0833,0.1489
"V767",0.1111,0.0385,0.1
"V768",0.625,0.3793,0.3482
"V769",0.1111,0.1724,0.0885
"V770",0.3333,0.4815,0.2973
"V771",0,0.0476,0.0682
"V772",0,0,0.0806
"V773",0,0.1111,0.1475
"V774",0.5,0.625,0.5
"V775",0.3333,0.5625,0.2667
"V776",0.6,0.65,0.6667
"V777",0,0.4118,0.3662
"V778",0,0,0.1067
"V779",0.25,0.5,0.4675
"V780",0.3333,0.3571,0.1486
"V781",0.2,0.2143,0.0779
"V782",0,0.0714,0.04
"V783",0.5,0.1379,0.3451
"V784",0,0.069,0.0796
"V785",0.1111,0.2857,0.2212
"V786",0.1667,0,0.0482
"V787",0.3333,0.3913,0.381
"V788",0,0.0455,0.0476
"V789",0.5,0.625,0.6164
"V790",0.6667,0.3571,0.3966
"V791",0.5,0.2308,0.2
"V792",NA,0,0.0517
"V793",1,0.3077,0.2241
"V794",1,0.3077,0.2222
"V795",NA,0.0909,0.0877
"V796",1,0.0833,0.0714
"V797",1,0.0909,0.02
"V798",1,0,0.0566
"V799",0,0.0833,0.0172
"V800",0,0.2308,0.1552
"V801",0,0.2308,0.1695
"V802",0,0.4118,0.1724
"V803",0,0.3077,0.0667
"V804",0,0.0417,0.0682
"V805",0.1111,0.1304,0.1839
"V806",0,0.0435,0.046
"V807",0,0.0952,0.0899
"V808",0.625,0.3,0.2391
"V809",0,0.087,0.0114
"V810",0.375,0.3333,0.1778
"V811",0,0.2,0.0947
"V812",0.125,0.0417,0.0316
"V813",0,0,0.0532
"V814",0.1111,0.3571,0.3125
"V815",0,0,0.0811
"V816",0,0.2727,0.02
"V817",0,0.0909,0.0816
"V818",0,0,0.0222
"V819",0,0,0.0543
"V820",0.75,0.5385,0.5957
"V821",0,0,0.0395
"V822",0,0.0667,0.0921
"V823",0.1111,0.1429,0.0796
"V824",0,0,0.0682
"V825",0.1667,0.35,0.3043
"V826",0.1429,0.45,0.4545
"V827",0.1429,0.1905,0.1685
"V828",0,0,0.0556
"V829",0,0.15,0.2442
"V830",0.2,0.2857,0.2022
"V831",0,0,0.0111
"V832",0,0.0476,0.0989
"V833",0,0.0455,0.0333
"V834",0,0,0.0536
"V835",0.1111,0,0.0531
"V836",0.1111,0.069,0.2035
"V837",0,0,0.05
"V838",0,0,0.05
"V839",0,0,0.02
"V840",0,0,0.05
"V841",0,0.3684,0.2982
"V842",0,0,0.1273
"V843",0,0.0385,0.01
"V844",0,0.04,0.07
"V845",0,0,0.02
"V846",0,0.24,0.1111
"V847",0,0.0588,0.0769
"V848",0,0.1111,0.0577
"V849",0,0.1111,0.0426
"V850",0,0.0625,0.02
"V851",0.5,0.3043,0.1616
"V852",0.375,0.16,0.2396
"V853",0,0,0.0845
