"BRWA"	"BWWA"	"GWWA"
"V174"	0.3056	0.1884	0.1764
"V175"	0	0.1111	0.0372
"V176"	0.5476	0.4405	0.4941
"V177"	0	0.05	0.0468
"V178"	0	0.0345	0.0768
"V179"	0.1111	0.0677	0.1089
"V180"	0.125	0.2228	0.216
"V181"	0	0.1362	0.0375
"V182"	0	0.1362	0.0372
"V183"	0.4107	0.4437	0.4063
"V184"	0	0.0526	0.0442
"V185"	0.3571	0.4917	0.4826
"V186"	0.4286	0.5083	0.4997
"V187"	0.125	0.1462	0.0822
"V188"	0	0.0357	0.0435
"V189"	0.125	0.0357	0.0519
"V190"	0	0.125	0.02
"V191"	0	0.1208	0.2372
"V192"	0.125	0.04	0.147
"V193"	0.4524	0.5031	0.479
"V194"	0	0.141	0.0653
"V195"	0.6667	0.1786	0.2591
"V196"	0	0.0588	0.0545
"V197"	0	0	0.0549
"V198"	0.25	0.1569	0.0377
"V199"	0.5278	0.484	0.4932
"V200"	0.2083	0.1897	0.1621
"V201"	0	0.1032	0.0349
"V202"	0.55	0.5036	0.4989
"V203"	0	0	0.0527
"V204"	0.3889	0.3892	0.4039
"V205"	0.5139	0.4947	0.5003
"V206"	0.5139	0.4618	0.4839
"V207"	0	0.0345	0.0686
"V208"	0	0.0345	0.0603
"V209"	0.5714	0.3333	0.3939
"V210"	0	0.2881	0.2776
"V211"	0	0.0556	0.0538
"V212"	0.25	0.1889	0.0213
"V213"	0	0	0.0616
"V214"	0	0	0.0604
"V215"	0	0.0588	0.097
"V216"	0	0.0625	0.0583
"V217"	0.3571	0.3022	0.3468
"V218"	0	0.2719	0.0849
"V219"	0	0.0701	0.0352
"V220"	0.4583	0.4865	0.4354
"V221"	0.1111	0.0345	0.0359
"V222"	NA	0.4778	0.3575
"V223"	0	0.2605	0.1563
"V224"	0.2321	0.1349	0.1197
"V225"	0.5	0.3864	0.1653
"V226"	0.125	0.1621	0.2394
"V227"	0.125	0.04	0.0412
"V228"	0.2857	0.4341	0.4654
"V229"	0	0.1621	0.112
"V230"	0	0	0.0526
"V231"	0.4306	0.4312	0.4802
"V232"	0.4306	0.4444	0.4626
"V233"	0.1667	0.085	0.1291
"V234"	0	0.3241	0.2245
"V235"	0	0.1996	0.1103
"V236"	0	0.0455	0.0464
"V237"	0	0.1305	0.0963
"V238"	0.125	0.0435	0.0532
"V239"	0.2	0.0588	0.1928
"V240"	0	0.0556	0.1012
"V241"	0	0.0556	0.0422
"V242"	0.2222	0.0754	0.0352
"V243"	0.1111	0.0701	0.0268
"V244"	0.5667	0.4551	0.4471
"V245"	0	0.0345	0.0608
"V246"	0	0	0.1139
"V247"	0	0.1474	0.0599
"V248"	0.5	0.4877	0.5024
"V249"	0.2083	0.3519	0.3158
"V250"	0.3393	0.0357	0.1441
"V251"	0	0.0701	0.0752
"V252"	0.4107	0.1032	0.1778
"V253"	0	0	0.0759
"V254"	0.1111	0.1724	0.1602
"V255"	0	0.0998	0.1693
"V256"	0	0.1068	0.2128
"V257"	0	0.0714	0.167
"V258"	0.125	0.0833	0.0406
"V259"	0	0.0815	0.041
"V260"	0.1111	0.0357	0.0349
"V261"	0	0.0556	0.0389
"V262"	0.2857	0.2484	0.2044
"V263"	0.1111	0.069	0.0435
"V264"	0	0.0998	0.0851
"V265"	0.1111	0.0677	0.0352
"V266"	0	0.0833	0.058
"V267"	0	0.0769	0.0576
"V268"	0	0	0.0823
"V269"	0.1111	0.2155	0.2181
"V270"	0.4722	0.3003	0.1468
"V271"	0.375	0.0726	0.0774
"V272"	0	0.141	0.0491
"V273"	0.4107	0.037	0.1398
"V274"	0	0.1349	0.0849
"V275"	0.3214	0	0.1007
"V276"	0	0.1349	0.123
"V277"	0.4167	0.5079	0.4856
"V278"	0.1111	0.0998	0.0263
"V279"	0.2222	0.0998	0.1355
"V280"	0.2917	0.0357	0.0263
"V281"	0.4286	0.1732	0.0424
"V282"	0	0	0.173
"V283"	0	0.037	0.0723
"V284"	0	0.1196	0.033
"V285"	0.3571	0.3605	0.2866
"V286"	0	0.1944	0.0088
"V287"	0	0	0.0603
"V288"	0	0.225	0.1538
"V289"	0.4306	0.3892	0.3918
"V290"	0.2083	0	0.093
"V291"	0.1111	0.0345	0.0435
"V292"	0	0.0783	0.0463
"V293"	0	0.2179	0.0539
"V294"	0.2083	0.2919	0.1621
"V295"	0.2083	0.0345	0.1011
"V296"	0.2083	0.3547	0.351
"V297"	0.4306	0.314	0.2809
"V298"	0.2	0.4006	0.0919
"V299"	0.1667	0.125	0.0895
"V300"	0	0.0556	0.1004
"V301"	0.1667	0.0714	0.0428
"V302"	0	0.101	0.0775
"V303"	0.5	0.3713	0.2371
"V304"	0	0.1167	0.028
"V305"	0.1111	0.0357	0.0768
"V306"	0	0	0.0614
"V307"	0	0.1045	0.0836
"V308"	0.2083	0	0.1245
"V309"	0	0.0667	0.1202
"V310"	0.3333	0.0726	0.0287
"V311"	0.25	0	0.0374
"V312"	0	0.1558	0.0653
"V313"	0.1429	0.325	0.1761
"V314"	0	0.037	0.0585
"V315"	0	0.0726	0.1572
"V316"	0.2	0	0.0907
"V317"	0.25	0.1727	0.1788
"V318"	0	0	0.0555
"V319"	0	0	0.0555
"V320"	0	0.0887	0.1577
"V321"	0	0	0.1169
"V322"	0	0.4595	0.4822
"V323"	0	0.132	0.0695
"V324"	0.3611	0.4889	0.3151
"V325"	0.3611	0.4889	0.3151
"V326"	0	0.1889	0.0354
"V327"	0.4464	0.5018	0.4597
"V328"	0	0	0.1217
"V329"	0.2321	0.1299	0.1349
"V330"	0.2917	0.3981	0.2924
"V331"	0	0.0345	0.109
"V332"	0	0.037	0.0716
"V333"	0.5	0.5	0.5
"V334"	0.2321	0.0754	0.139
"V335"	0	0.1558	0.0548
"V336"	0.5	0.4909	0.491
"V337"	0.1111	0.0998	0.0435
"V338"	0.4306	0.2738	0.3309
"V339"	0	0.1653	0.1177
"V340"	0.1111	0	0.0442
"V341"	0.125	0.1996	0.0977
"V342"	0	0	0.052
"V343"	0	0.0929	0.0312
"V344"	0.2083	0.266	0.2197
"V345"	0.1111	0.1305	0.0352
"V346"	0	0.0677	0.0438
"V347"	0	0.0677	0.0435
"V348"	0	0.1032	0.085
"V349"	0	0.1667	0.0176
"V350"	0.4583	0.4877	0.49
"V351"	0	0	0.0687
"V352"	0.1111	0.0345	0.0603
"V353"	0.1111	0.0345	0.0359
"V354"	0	0.0677	0.1398
"V355"	0	0.0345	0.1011
"V356"	0.2083	0.3638	0.2667
"V357"	0.125	0.1023	0.0252
"V358"	0.2321	0.25	0.1953
"V359"	0.5	0.2222	0.1459
"V360"	0.1111	0.0701	0.0686
"V361"	0.4464	0.4692	0.3349
"V362"	0	0.0345	0.0435
"V363"	0.4167	0.3325	0.4077
"V364"	0.5	0.2708	0.4557
"V365"	0.3333	0.1491	0.1426
"V366"	0	0.0677	0.0352
"V367"	0	0.0357	0.0524
"V368"	0	0.0357	0.0524
"V369"	0	0	0.0524
"V370"	0	0.0357	0.0524
"V371"	0	0.4451	0.4941
"V372"	0.1111	0.0345	0.0435
"V373"	0.3611	0.414	0.3257
"V374"	0	0.0345	0.0849
"V375"	0	0.0455	0.051
"V376"	0	0.0435	0.1087
"V377"	0.4	0.4394	0.3161
"V378"	0	0.1023	0.168
"V379"	0.2321	0.2369	0.261
"V380"	0	0.0455	0.0442
"V381"	0.1111	0.3003	0.2113
"V382"	0.2	0.1	0.0791
"V383"	0.4286	0.3333	0.3298
"V384"	0.2	0.3205	0.3864
"V385"	0.2083	0	0.0452
"V386"	0	0	0.0828
"V387"	0	0	0.0531
"V388"	0	0	0.1122
"V389"	0	0.0909	0.086
"V390"	0.4286	0.3462	0.2377
"V391"	0.1111	0.1884	0.0263
"V392"	0	0	0.0603
"V393"	0.4167	0.4837	0.4456
"V394"	NA	0.4242	0.3516
"V395"	0.35	0.1762	0.1923
"V396"	0.45	0.2403	0.258
"V397"	0.2	0	0.0384
"V398"	0.35	0	0.0652
"V399"	0	0.0974	0.1868
"V400"	0.4	0.2056	0.222
"V401"	0.4	0.2056	0.2306
"V402"	0.4167	0.4381	0.3553
"V403"	0.5179	0.4951	0.4778
"V404"	0.5179	0.4877	0.4644
"V405"	0.5179	0.4877	0.4656
"V406"	0.5179	0.4877	0.4669
"V407"	0.2083	0.0998	0.2379
"V408"	0.1111	0	0.0603
"V409"	0	0.0435	0.0591
"V410"	0.2321	0.1214	0.1809
"V411"	0.2619	0.1902	0.0666
"V412"	0.125	0.0815	0.0728
"V413"	0.1667	0.2749	0.2403
"V414"	0	0.0435	0.0685
"V415"	0.1429	0.05	0.0495
"V416"	0	0.0815	0.0402
"V417"	0	0.0887	0.0326
"V418"	0	0.1045	0.0278
"V419"	0.5	0.4762	0.3956
"V420"	0.2083	0.0345	0.0775
"V421"	0.125	0.1944	0.1975
"V422"	0	0.2894	0.2045
"V423"	0	0.1491	0.1198
"V424"	0	0.0345	0.0603
"V425"	0.1111	0	0.0768
"V426"	0.2917	0.1944	0.1207
"V427"	0.1111	0.3707	0.2871
"V428"	0	0	0.0882
"V429"	0	0.037	0.0452
"V430"	0.1111	0.1349	0.0796
"V431"	0	0.0741	0.0539
"V432"	0	0.0741	0.0711
"V433"	0.2083	0.1349	0.1587
"V434"	0	0.0345	0.0631
"V435"	0	0	0.0717
"V436"	0	0	0.1037
"V437"	0.3393	0.5037	0.4363
"V438"	0	0.2016	0.0967
"V439"	0.3571	0.1357	0.3109
"V440"	0.2	0.0815	0.0209
"V441"	0	0	0.0699
"V442"	0.3571	0.0435	0.041
"V443"	0.2	0.1688	0.2344
"V444"	0.5	0.1	0.1399
"V445"	0.2	0	0.0611
"V446"	0	0	0.0588
"V447"	0.5	0.3917	0.2673
"V448"	0	0.0667	0.0555
"V449"	0.5	0.4095	0.4557
"V450"	0	0.1857	0.0891
"V451"	0	0.225	0.2108
"V452"	0.6667	0.5208	0.4878
"V453"	0.5	0.4936	0.5011
"V454"	0.5	0.4455	0.4844
"V455"	0.5	0.4924	0.5012
"V456"	0.4167	0.5091	0.4983
"V457"	0.1429	0.3263	0.1977
"V458"	0	0	0.058
"V459"	0	0	0.1665
"V460"	0	0	0.0799
"V461"	0.1111	0.1032	0.0443
"V462"	0.1111	0.0726	0.0268
"V463"	0	0.0677	0.0851
"V464"	0	0.0677	0.0858
"V465"	0	0.0677	0.0435
"V466"	0.1111	0.0345	0.0604
"V467"	0	0.0677	0.0435
"V468"	0.2	0.4909	0.4763
"V469"	0	0.0357	0.0699
"V470"	0	0.0677	0.0614
"V471"	0	0.1576	0.1418
"V472"	0.4	0.3134	0.3309
"V473"	0.3393	0.1214	0.0744
"V474"	0.2	0.1474	0.0545
"V475"	0	0.1474	0.0396
"V476"	0	0	0.0791
"V477"	0.1667	0.1167	0.0693
"V478"	0.5	0.4733	0.4946
"V479"	NA	0.3556	0.1062
"V480"	NA	0.0833	0.1203
"V481"	NA	0.1978	0.2274
"V482"	NA	0.3269	0.2853
"V483"	NA	0.522	0.4911
"V484"	0.2222	0	0.0696
"V485"	0.3056	0.3452	0.3564
"V486"	0	0.0476	0.0431
"V487"	0	0	0.1089
"V488"	0	0.1769	0.0359
"V489"	0.125	0.0357	0.071
"V490"	0.2917	0.1833	0.1197
"V491"	0	0.1032	0.0948
"V492"	0.25	0.0385	0.1333
"V493"	0.2321	0.0357	0.0359
"V494"	0.1111	0.1349	0.0864
"V495"	0.1111	0.1318	0.1199
"V496"	0.375	0.0998	0.1288
"V497"	0	0.1305	0.0184
"V498"	0.1111	0.0677	0.089
"V499"	0	0.0345	0.071
"V500"	0.1111	0.0345	0.045
"V501"	0.2222	0.0677	0.0744
"V502"	0	0	0.058
"V503"	0	0	0.058
"V504"	0.5	0.5192	0.3651
"V505"	0	0.0909	0.1661
"V506"	0	0	0.0733
"V507"	0	0.1889	0.1327
"V508"	0	0.1558	0.1199
"V509"	0	0.04	0.0758
"V510"	0.1111	0.0815	0.0288
"V511"	0	0.141	0.0278
"V512"	0	0.0726	0.1719
"V513"	0	0	0.0553
"V514"	0	0.1032	0.0402
"V515"	0.1429	0.3305	0.1727
"V516"	0.5179	0.4877	0.5037
"V517"	0	0.1032	0.1464
"V518"	0.1429	0.15	0.0744
"V519"	0	0	0.0955
"V520"	0.2	0.1299	0.0333
"V521"	0	0.0887	0.0452
"V522"	0	0.0677	0.1089
"V523"	0.1111	0.1305	0.1332
"V524"	0.1111	0.0701	0.0603
"V525"	0	0.0345	0.0637
"V526"	0	0.0783	0.0983
"V527"	0.1429	0.3167	0.3073
"V528"	0	0.1299	0.2658
"V529"	0	0.0455	0.0977
"V530"	0.1667	0.2857	0.1663
"V531"	0.1667	0.05	0.0276
"V532"	0	0.0526	0.0649
"V533"	0.2083	0.0998	0.1546
"V534"	0.4464	0.4841	0.3649
"V535"	0.1111	0.0677	0.0524
"V536"	0.1111	0.1032	0.0692
"V537"	0	0.1396	0.2413
"V538"	0.1111	0.1653	0.2496
"V539"	0.1111	0.0345	0.0352
"V540"	0.1111	0.0701	0.0438
"V541"	0	0.0588	0.0737
"V542"	0.1429	0.5163	0.4597
"V543"	0	0.0345	0.0613
"V544"	0	0.0754	0.0481
"V545"	0.6667	0.2771	0.3668
"V546"	0	0.2009	0.0772
"V547"	0.2083	0	0.0471
"V548"	0.1111	0.1785	0.1177
"V549"	0	0.1068	0.0291
"V550"	0.4821	0.4501	0.4155
"V551"	0	0.132	0.0754
"V552"	0.1429	0.3267	0.2897
"V553"	0.3333	0	0.0671
"V554"	0.5417	0.5049	0.4987
"V555"	0	0.0677	0.0435
"V556"	0.2917	0.4074	0.3788
"V557"	0.1111	0.2487	0.2181
"V558"	0.1667	0	0.1373
"V559"	0	0.0625	0.0407
"V560"	0	0.0625	0.0679
"V561"	0.5	0.3846	0.3624
"V562"	0.35	0.1111	0.1541
"V563"	0	0	0.0819
"V564"	0	0.1068	0.0229
"V565"	0.2	0.1978	0.2408
"V566"	0.2	0.2857	0.2526
"V567"	0.4524	0.2905	0.2142
"V568"	0.25	0.2381	0.2238
"V569"	0.25	0.225	0.2178
"V570"	0.5	0.4458	0.4803
"V571"	0	0.0714	0.2178
"V572"	0.5333	0.4265	0.4395
"V573"	0.2857	0.2974	0.2847
"V574"	0.381	0.2143	0.2598
"V575"	0	0.1667	0.1325
"V576"	0.5	0.5227	0.503
"V577"	0.3	0.3333	0.3074
"V578"	0.3	0.4015	0.3797
"V579"	0.3056	0.3719	0.4203
"V580"	0	0.1083	0.0614
"V581"	0	0.0815	0.1078
"V582"	0.2321	0.1214	0.0591
"V583"	0	0.0769	0.043
"V584"	0	0	0.0612
"V585"	0.5	0.0714	0.2349
"V586"	0	0	0.0775
"V587"	0.3214	0.3214	0.1779
"V588"	0.3333	0.4091	0.2562
"V589"	0.5833	0.4038	0.5058
"V590"	0.3333	0.5278	0.494
"V591"	0.3333	0.5536	0.494
"V592"	0	0.5536	0.4937
"V593"	0.1111	0.0677	0.0349
"V594"	0.5179	0.4938	0.497
"V595"	0.1111	0.0345	0.0519
"V596"	0	0.0833	0.0367
"V597"	0.4167	0	0.1599
"V598"	0.4722	0.4775	0.5015
"V599"	0	0.1958	0.0366
"V600"	0.2083	0.215	0.1899
"V601"	0.2619	0	0.0876
"V602"	0.1429	0.0833	0.0305
"V603"	0	0	0.1131
"V604"	0.2	0.0455	0.1458
"V605"	0.1667	0.0833	0.0638
"V606"	0	0.3182	0.1577
"V607"	0	0.2955	0.0828
"V608"	0	0	0.0681
"V609"	0.1667	0.0833	0.1207
"V610"	0	0.2843	0.2984
"V611"	0.5	0.2756	0.3503
"V612"	0	0	0.1245
"V613"	0	0.0714	0.0555
"V614"	0.1111	0.1601	0.1485
"V615"	0.2083	0.3077	0.2709
"V616"	0.1111	0.1068	0.1498
"V617"	0	0.0677	0.0359
"V618"	0	0	0.0692
"V619"	0	0.1491	0.0835
"V620"	0	0.1792	0.2018
"V621"	0	0	0.1169
"V622"	0	0.0667	0.1137
"V623"	0.2	0.225	0.1565
"V624"	0.1667	0	0.0553
"V625"	0	0.0625	0.0551
"V626"	0	0	0.1305
"V627"	0.1111	0.0345	0.0519
"V628"	0.1111	0.0677	0.0603
"V629"	0.1667	0.225	0.1664
"V630"	0.1667	0.2132	0.188
"V631"	0.2619	0.2132	0.1857
"V632"	0.3571	0.4842	0.5022
"V633"	0	0	0.0537
"V634"	0.1429	0.2132	0.2908
"V635"	0	0.0667	0.1264
"V636"	0.2619	0.175	0.1855
"V637"	0	0.0667	0.0537
"V638"	0	0.2677	0.1415
"V639"	0.5	0.4505	0.3907
"V640"	0	0	0.0535
"V641"	NA	0.3182	0.075
"V642"	0.5	0.2955	0.2221
"V643"	0.2917	0.5074	0.4411
"V644"	0	0.0677	0.0603
"V645"	0.2	0.1265	0.1651
"V646"	0.5833	0.2115	0.3065
"V647"	0.5833	0.2115	0.3328
"V648"	0.3333	0.3077	0.2877
"V649"	0.25	0.3077	0.2336
"V650"	0	0.0667	0.0639
"V651"	0.25	0.4542	0.4141
"V652"	0.6667	0.5033	0.4994
"V653"	0.2	0	0.0443
"V654"	0.2	0	0.0544
"V655"	0.2	0	0.0575
"V656"	0.2	0.0909	0.0284
"V657"	0	0.05	0.0726
"V658"	0	0.0476	0.064
"V659"	0	0	0.0661
"V660"	0.5667	0.369	0.2539
"V661"	0.2083	0.037	0.0538
"V662"	0.3929	0.4843	0.4428
"V663"	0.5139	0.4954	0.5011
"V664"	0.1111	0.0741	0.0276
"V665"	0	0	0.0781
"V666"	0.1111	0.1068	0.0533
"V667"	0.2917	0.3815	0.3111
"V668"	0.1111	0.1349	0.0717
"V669"	0	0	0.0569
"V670"	0	0.3498	0.1826
"V671"	0.4286	0.3355	0.3031
"V672"	0	0	0.0576
"V673"	0	0	0.0577
"V674"	0.6667	0.4423	0.5048
"V675"	0.6667	0.4505	0.5053
"V676"	0.5476	0.47	0.4785
"V677"	0.2857	0.417	0.1167
"V678"	0	0	0.0635
"V679"	0.381	0.192	0.0423
"V680"	0.2	0	0.1384
"V681"	0.1667	0	0.0435
"V682"	0.2	0.3713	0.3282
"V683"	0.2	0.2026	0.1316
"V684"	0.3	0.175	0.1423
"V685"	0	0	0.0604
"V686"	0.1111	0	0.1108
"V687"	0.3571	0.1299	0.1485
"V688"	0	0.1265	0.0353
"V689"	0.3393	0.1396	0.1565
"V690"	0.2083	0.0357	0.1073
"V691"	0.1111	0.1032	0.0181
"V692"	0.125	0	0.1703
"V693"	0.5	0.5062	0.4933
"V694"	0.5	0.3696	0.1906
"V695"	0.125	0.21	0.1675
"V696"	0	0.171	0.1521
"V697"	0	0.0435	0.1071
"V698"	0.25	0.1265	0.2483
"V699"	0	0.0345	0.0548
"V700"	0.1111	0.0357	0.0904
"V701"	0.2083	0.1318	0.1075
"V702"	0	0.1517	0.0649
"V703"	0.4722	0.5083	0.5016
"V704"	0.125	0	0.0559
"V705"	0.1429	0.085	0.0467
"V706"	0	0.0677	0.1322
"V707"	0.2083	0.2155	0.2248
"V708"	0.3611	0.3707	0.2708
"V709"	0.2917	0.0345	0.0864
"V710"	0.5	0.5026	0.4944
"V711"	0.1111	0.0998	0.101
"V712"	0	0.0357	0.0519
"V713"	0.2917	0.4052	0.4484
"V714"	0	0.1601	0.0265
"V715"	0.3	0.3816	0.3573
"V716"	0.5238	0.3452	0.3678
"V717"	0	0.2056	0.3647
"V718"	0	0	0.0617
"V719"	0	0.0476	0.0617
"V720"	0	0.115	0.0467
"V721"	0.2917	0.325	0.2861
"V722"	0.5	0.504	0.4801
"V723"	0.125	0	0.0863
"V724"	0	0.192	0.3023
"V725"	0	0.0677	0.0435
"V726"	0.381	0.2516	0.117
"V727"	0.5476	0.4379	0.4413
"V728"	0.2619	0.0526	0.0679
"V729"	0	0.0952	0.0546
"V730"	0	0	0.0754
"V731"	0	0	0.0776
"V732"	0.5333	0.3953	0.3808
"V733"	0.4107	0.3932	0.401
"V734"	0.4107	0.4103	0.401
"V735"	0.5	0.5	0.4914
"V736"	NA	0.0769	0.1401
"V737"	NA	0.1374	0.2531
"V738"	0	0.1023	0.0874
"V739"	0	0.1421	0.0657
"V740"	0.3	0.0588	0.1072
"V741"	0	0.1569	0.1195
"V742"	0	0.0556	0.0428
"V743"	0.2083	0.0677	0.0768
"V744"	0.5	0.4228	0.4267
"V745"	0	0.0833	0.1078
"V746"	0.5	0.4524	0.4923
"V747"	0.2	0.1591	0.1267
"V748"	0.55	0.4762	0.498
"V749"	0.5833	0	0.2718
"V750"	0.6667	0.1591	0.1976
"V751"	0.6667	0	0.0959
"V752"	0	0	0.0941
"V753"	0	0	0.0575
"V754"	0.25	0.0556	0.0435
"V755"	0	0.0667	0.0791
"V756"	0	0.1857	0.1078
"V757"	0	0.0667	0.1267
"V758"	0.4167	0.4231	0.4401
"V759"	0	0.0625	0.0624
"V760"	0	0.0701	0.0781
"V761"	0	0.0345	0.0538
"V762"	0	0.0998	0.0872
"V763"	0.1429	0.0455	0.1675
"V764"	0.381	0.0476	0.0958
"V765"	0	0	0.0642
"V766"	0	0.0815	0.1385
"V767"	0.1111	0.0385	0.0955
"V768"	0.4464	0.3904	0.3115
"V769"	0.1111	0.1601	0.1011
"V770"	0.2917	0.4387	0.279
"V771"	0	0.0476	0.0662
"V772"	0	0	0.078
"V773"	0	0.1111	0.1656
"V774"	0.4167	0.4792	0.4
"V775"	0.3333	0.4125	0.2519
"V776"	0.45	0.4974	0.502
"V777"	0	0.3346	0.3354
"V778"	0.4	0	0.1016
"V779"	0.5833	0.3824	0.3735
"V780"	0.3	0.3022	0.1614
"V781"	0.2	0.1978	0.0754
"V782"	0	0.0714	0.0395
"V783"	0.3929	0.2931	0.3308
