"BRWA"	"BWWA"	"GWWA"
"V142"	0	-0.0204	0.6594
"V143"	0	-0.0204	-0.0251
"V144"	0	0.4253	0.4593
"V145"	-0.0667	0.6387	-0.0323
"V146"	0.0588	0.1958	0.1645
"V147"	0	0	0.3348
"V148"	0	0	0.1066
"V149"	0	0	0.795
"V150"	1	0	-0.0152
"V151"	0	0	-0.0229
"V152"	0	0	-0.0229
"V153"	0.6	-0.0275	0.3985
"V154"	1	0.6552	0.7279
"V155"	0	0.7826	0
"V156"	0	0	0.4921
"V157"	0	0	-0.023
"V158"	0	0.2676	0.075
"V159"	0	0.2676	0.075
"V160"	0	0.1472	0.0879
"V161"	-0.2308	-0.1429	0.1253
"V162"	0	-0.1034	-0.2157
"V163"	0.5714	-0.6744	-0.3239
"V164"	0	-0.0667	0
"V165"	0	-0.0625	0.1202
"V166"	0	-0.1515	-0.0992
"V167"	0	1	0.5775
"V168"	0	0	0.8523
"V169"	0	0.5	0.3819
"V170"	1	0.6238	0.3826
"V171"	1	0.6238	0.3826
"V172"	-0.1667	0.2432	0.3299
"V173"	0	-0.037	0.007
"V174"	0.6364	-0.098	-0.1034
"V175"	0	1	0.6638
"V176"	0.4783	0.2432	0.47
"V177"	0	0	-0.0184
"V178"	0	0	-0.037
"V179"	0	-0.0182	-0.0566
"V180"	0	-0.122	0.0641
"V181"	0	0.4757	-0.0146
"V182"	0	0.4757	-0.0145
"V183"	0.3913	-0.0244	-0.273
"V184"	0	0	-0.0173
"V185"	-0.2	0.1864	0.1844
"V186"	-0.3333	0.1344	0.1954
"V187"	0	0.4737	0.7413
"V188"	0	0	-0.0182
"V189"	0	0	-0.0228
"V190"	0	1	0
"V191"	0	-0.0345	0.8378
"V192"	0	0	0.0462
"V193"	0.3684	0.0061	0.1525
"V194"	0	0.4747	-0.03
"V195"	1	0.4667	0.7885
"V196"	0	0	-0.0192
"V197"	0	0	0.6624
"V198"	0	-0.0625	1
"V199"	0.1579	-0.3537	-0.032
"V200"	-0.0667	0.2727	0.0171
"V201"	0	-0.0385	-0.0136
"V202"	0.2727	0.0899	0.1143
"V203"	0	0	0.388
"V204"	1	-0.1519	0.0141
"V205"	-0.2973	0.2059	0.0277
"V206"	-0.2973	0.2533	-0.0333
"V207"	0	0	-0.0323
"V208"	0	0	-0.0275
"V209"	0.75	0.0455	0.2416
"V210"	0	0.5041	0.5065
"V211"	0	0	0.4912
"V212"	0	-0.0588	0
"V213"	0	0	0.6619
"V214"	0	0	0.662
"V215"	0	0	-0.0462
"V216"	0	0	-0.0233
"V217"	-0.2	-0.1818	-0.1315
"V218"	0	-0.1613	-0.0388
"V219"	0	-0.0189	-0.0137
"V220"	-0.4545	-0.0633	-0.1162
"V221"	0	0	-0.014
"V222"	0	-0.0465	-0.2911
"V223"	0	-0.1515	-0.0841
"V224"	-0.0769	-0.0588	-0.0634
"V225"	-0.3333	-0.2941	-0.0889
"V226"	0	-0.0732	0.1357
"V227"	0	0	1
"V228"	1	0.6709	0.7851
"V229"	0	-0.0732	0.1357
"V230"	0	0	-0.0222
"V231"	0.2258	0.089	0.2865
"V232"	0.2258	0.0357	0.2251
"V233"	0	-0.0233	-0.0683
"V234"	0	0.3293	0.0676
"V235"	0	0.3465	0.1563
"V236"	0	0	0.4924
"V237"	0	-0.0566	0.1429
"V238"	0	0	-0.0225
"V239"	0	0	0.0365
"V240"	0	0	-0.0484
"V241"	0	0	-0.0147
"V242"	1	-0.0204	-0.0137
"V243"	0	-0.0189	-0.0092
"V244"	0.7059	0.662	0.6915
"V245"	0	0	-0.0278
"V246"	0	0	-0.0538
"V247"	0	-0.0435	-0.0213
"V248"	-0.1111	0.0808	0.1368
"V249"	-0.0667	-0.0526	-0.065
"V250"	0.6316	0	0.1915
"V251"	0	-0.0189	0.4835
"V252"	0.3913	-0.0385	0.1179
"V253"	0	0	0.4834
"V254"	0	0.3554	0.4846
"V255"	0	-0.037	0.007
"V256"	0	-0.04	0.0427
"V257"	0	0	-0.0886
"V258"	0	1	-0.0159
"V259"	0	-0.0222	-0.016
"V260"	0	0	-0.0136
"V261"	0	0	-0.0135
"V262"	1	0.3289	0.3515
"V263"	0	1	-0.0182
"V264"	0	-0.037	0.376
"V265"	0	-0.0182	-0.0137
"V266"	0	0	0.6622
"V267"	0	0	-0.0204
"V268"	0	0	-0.0337
"V269"	0	-0.12	0.0261
"V270"	0.0588	0.2863	0.3257
"V271"	0.4074	-0.0196	0.483
"V272"	0	0.4747	0.3889
"V273"	0.3913	0	0.4993
"V274"	0	-0.0588	0.4229
"V275"	-0.1667	0	0.1409
"V276"	0	-0.0588	0.2401
"V277"	-0.3333	0.1562	0.1121
"V278"	0	-0.037	-0.009
"V279"	1	-0.037	0.0609
"V280"	-0.1429	0	-0.009
"V281"	1	1	0.4931
"V282"	0	0	0.635
"V283"	0	0	-0.0341
"V284"	0	-0.0455	-0.0114
"V285"	-0.2	-0.0402	-0.0466
"V286"	0	-0.102	0
"V287"	0	0	-0.0275
"V288"	0	-0.1111	-0.084
"V289"	0.2258	-0.1519	0.0061
"V290"	-0.0667	0	-0.0467
"V291"	0	0	-0.0182
"V292"	0	-0.0213	-0.0194
"V293"	0	0.6471	0.6625
"V294"	-0.0667	0.2911	0.0171
"V295"	-0.0667	0	0.1243
"V296"	-0.0667	0.125	-0.0338
"V297"	0.2258	0.2314	-0.0712
"V298"	0	0.2117	-0.0435
"V299"	0	1	-0.0423
"V300"	0	0	-0.049
"V301"	0	0	-0.0149
"V302"	0	0.6585	-0.0374
"V303"	0.6	0.0495	0.2093
"V304"	0	0.6571	-0.0096
"V305"	0	0	-0.037
"V306"	0	0	0.2667
"V307"	0	0.6582	-0.04
"V308"	-0.0667	0	0.0761
"V309"	0	0	-0.0588
"V310"	1	-0.0196	0.6645
"V311"	0	0	-0.0097
"V312"	0	-0.0698	-0.03
"V313"	0	-0.2308	-0.1027
"V314"	0	0	-0.0259
"V315"	0	-0.0196	0.026
"V316"	0	0	-0.04
"V317"	0	-0.0526	0.1228
"V318"	0	0	-0.0196
"V319"	0	0	-0.0196
"V320"	0	-0.0244	-0.0889
"V321"	0	0	0.5496
"V322"	0	0.3782	0.5391
"V323"	0	0.6557	-0.028
"V324"	-0.2308	0.2242	0.1013
"V325"	-0.2308	0.2242	0.1013
"V326"	0	-0.0588	-0.0092
"V327"	-0.4	-0.4946	-0.1143
"V328"	0	0	-0.0633
"V329"	-0.0769	-0.05	-0.0719
"V330"	-0.1429	-0.1661	-0.15
"V331"	0	0	0.1066
"V332"	0	0	0.5587
"V333"	-0.6	-0.8571	-0.9737
"V334"	-0.0769	-0.0204	0.059
"V335"	0	-0.0698	-0.0242
"V336"	-1	-0.6667	-0.3179
"V337"	0	-0.037	-0.0182
"V338"	0.2258	-0.1739	0.0105
"V339"	0	-0.08	-0.0619
"V340"	0	0	-0.0185
"V341"	0	0.3465	0.7912
"V342"	0	0	-0.022
"V343"	0	-0.0256	-0.0108
"V344"	-0.0667	-0.1667	-0.0568
"V345"	0	-0.0566	-0.0137
"V346"	0	-0.0182	-0.0183
"V347"	0	-0.0182	-0.0182
"V348"	0	-0.0385	0.1673
"V349"	0	0.3571	-0.0045
"V350"	-0.4545	0.0808	-0.1317
"V351"	0	0	0.2267
"V352"	0	0	-0.0275
"V353"	0	0	-0.014
"V354"	0	-0.0182	0.0503
"V355"	0	0	0.1243
"V356"	-0.0667	0.1164	-0.047
"V357"	0	-0.0286	-0.0065
"V358"	-0.0769	-0.1429	-0.1159
"V359"	0	1	-0.0753
"V360"	0	-0.0189	-0.0323
"V361"	-0.4	-0.1024	-0.2644
"V362"	0	0	-0.0182
"V363"	-0.3333	-0.2444	-0.0419
"V364"	-1	-0.1538	0.6865
"V365"	0	-0.0588	0.513
"V366"	0	-0.0182	-0.0137
"V367"	0	0	-0.023
"V368"	0	0	-0.023
"V369"	0	0	-0.023
"V370"	0	0	-0.023
"V371"	0	-0.4444	-0.7857
"V372"	0	0	-0.0182
"V373"	-0.2308	-0.2077	0.0218
"V374"	0	0	-0.0419
"V375"	0	0	-0.0215
"V376"	0	0	0.1372
"V377"	-0.25	-0.4483	-0.0909
"V378"	0	-0.0286	0.0422
"V379"	-0.0769	-0.1364	-0.1002
"V380"	0	0	-0.0173
"V381"	0	0.2863	-0.0471
"V382"	0	0	-0.0323
"V383"	-0.3333	-0.2	-0.1296
"V384"	0	-0.2	-0.2479
"V385"	-0.0667	0	0.797
"V386"	0	0	0.31
"V387"	0	0	0.4913
"V388"	0	0	0.3007
"V389"	0	0	-0.0377
"V390"	-0.3333	-0.2381	0.0057
"V391"	0	-0.098	-0.009
"V392"	0	0	-0.0275
"V393"	-0.2	-0.3784	-0.228
"V394"	0	-0.375	-0.0447
"V395"	-0.1429	-0.0811	-0.1141
"V396"	-0.3333	-0.1351	-0.0817
"V397"	0	0	-0.0133
"V398"	-0.1429	0	-0.0233
"V399"	0	-0.027	-0.1096
"V400"	-0.25	-0.1053	-0.1391
"V401"	-0.25	-0.1053	-0.1467
"V402"	-0.2	0.2391	-0.1924
"V403"	0.5172	0.1642	0.2712
"V404"	0.5172	0.0808	0.3272
"V405"	0.5172	0.0808	0.3362
"V406"	0.5172	0.0808	0.3115
"V407"	-0.0667	-0.037	0.1445
"V408"	0	0	-0.0275
"V409"	0	0	-0.0262
"V410"	-0.0769	0.6567	0.005
"V411"	-0.0909	-0.0952	-0.0306
"V412"	0	-0.0222	-0.0337
"V413"	0	0.1732	-0.1558
"V414"	0	0	-0.0316
"V415"	0	0	-0.0208
"V416"	0	-0.0222	-0.0157
"V417"	0	-0.0244	-0.0112
"V418"	0	0.6582	-0.0095
"V419"	-0.1111	-0.125	-0.1408
"V420"	-0.0667	0	-0.0374
"V421"	0	-0.102	-0.12
"V422"	0	-0.1915	-0.0386
"V423"	0	-0.0588	-0.0598
"V424"	0	0	-0.0275
"V425"	0	0	-0.037
"V426"	-0.1429	-0.102	-0.064
"V427"	0	-0.3023	0.1676
"V428"	0	0	0.1897
"V429"	0	0	0.797
"V430"	0	-0.0588	0.1932
"V431"	0	1	0.3186
"V432"	0	1	0.2258
"V433"	-0.0667	-0.0588	0.2554
"V434"	0	0	0.2661
"V435"	0	0	-0.0338
"V436"	0	0	0.1231
"V437"	0.6316	0.0416	0.3145
"V438"	0	0.7843	0.1863
"V439"	-0.2	-0.0526	0.0604
"V440"	0	-0.0222	-0.0053
"V441"	0	0	-0.0323
"V442"	-0.2	0	-0.016
"V443"	0	-0.0769	0.4798
"V444"	1	1	0.2851
"V445"	0	0	0.386
"V446"	0	0	1
"V447"	1	0.3617	0.4975
"V448"	0	0	-0.0196
"V449"	1	0.3488	0.6688
"V450"	0	-0.0769	-0.0392
"V451"	0	-0.1111	0.2236
"V452"	1	0.4	0.4965
"V453"	-0.5	-0.7143	-0.6191
"V454"	-0.3333	-0.4286	-0.5191
"V455"	-0.5	-0.6923	-0.6041
"V456"	-0.2	-0.4286	-0.6792
"V457"	0	-0.2258	0
"V458"	0	0	0.6622
"V459"	0	0	0.6397
"V460"	0	0	1
"V461"	0	-0.0385	0.39
"V462"	0	-0.0196	-0.0092
"V463"	0	-0.0182	0.376
"V464"	0	-0.0182	0.3758
"V465"	0	-0.0182	-0.0182
"V466"	0	0	0.267
"V467"	0	-0.0182	-0.0182
"V468"	0	0.2362	0.3235
"V469"	0	0	0.4848
"V470"	0	-0.0182	0.2667
"V471"	0	0.4713	0.4625
"V472"	-0.25	0.3353	0.2588
"V473"	0.6316	0.6567	0.2246
"V474"	0	-0.0435	-0.0192
"V475"	0	-0.0435	-0.0103
"V476"	0	0	-0.0323
"V477"	0	0.6571	0.264
"V478"	0.1429	0.3239	0.252
"V479"	0	1	0.5518
"V480"	0	0	0.4723
"V481"	0	-0.0833	0.4326
"V482"	0	0.2941	0.7173
"V483"	0	0.3158	0.5227
"V484"	1	0	0.3839
"V485"	0.6364	0.0345	0.2596
"V486"	0	0	0.6634
"V487"	0	0	0.4753
"V488"	0	-0.087	-0.014
"V489"	0	0	-0.0335
"V490"	-0.1429	-0.0909	-0.0634
"V491"	0	-0.0385	0.3345
"V492"	1	0	0.0622
"V493"	-0.0769	0	-0.014
"V494"	0	-0.0588	-0.0427
"V495"	0	0.4766	0.3936
"V496"	0.4074	-0.037	0.0739
"V497"	0	-0.0566	-0.0047
"V498"	0	-0.0182	0.5837
"V499"	0	0	-0.0335
"V500"	0	0	-0.0189
"V501"	1	-0.0182	0.2246
"V502"	0	0	0.6622
"V503"	0	0	0.6622
"V504"	-1	-0.037	0.4629
"V505"	0	0	0.398
"V506"	0	0	-0.0297
"V507"	0	-0.0588	0.8492
"V508"	0	-0.0698	-0.0632
"V509"	0	0	0.2241
"V510"	0	-0.0222	-0.0099
"V511"	0	0.4747	-0.0095
"V512"	0	-0.0196	0.2316
"V513"	0	0	0.3182
"V514"	0	-0.0385	-0.0157
"V515"	0	-0.0086	0.2685
"V516"	-0.2069	0.0808	0.3006
"V517"	0	-0.0385	0.2089
"V518"	0	-0.0667	-0.0345
"V519"	0	0	-0.0471
"V520"	0	-0.05	-0.0115
"V521"	0	-0.0244	-0.0178
"V522"	0	-0.0182	-0.0566
"V523"	0	-0.0566	-0.0725
"V524"	0	-0.0189	-0.0275
"V525"	0	0	0.2659
"V526"	0	-0.0213	-0.0492
"V527"	0	0.0977	-0.072
"V528"	0	-0.05	0.0028
"V529"	0	0	0.1858
"V530"	0	0.1667	-0.0935
"V531"	0	0	-0.0071
"V532"	0	0	-0.0278
"V533"	-0.0667	-0.037	-0.0874
"V534"	-0.4	-0.1803	-0.1605
"V535"	0	-0.0182	-0.023
"V536"	0	-0.0385	-0.0326
"V537"	0	-0.0612	-0.0828
"V538"	0	-0.08	-0.0925
"V539"	0	0	-0.0137
"V540"	0	-0.0189	-0.0183
"V541"	0	0	0.2626
"V542"	0	0.2468	0.1252
"V543"	0	0	-0.028
"V544"	0	-0.0204	0.3891
"V545"	0.5	0.5078	0.287
"V546"	0	-0.1064	-0.0366
"V547"	-0.0667	0	-0.0198
"V548"	0	0.3534	-0.0619
"V549"	0	-0.04	-0.01
"V550"	-0.5556	-0.3165	-0.3059
"V551"	0	0.6557	0.5579
"V552"	0	0.0204	0.2631
"V553"	1	0	0.3147
"V554"	0.3846	-0.3659	-0.0754
"V555"	0	-0.0182	-0.0182
"V556"	-0.1429	-0.1818	-0.0513
"V557"	0	-0.1489	0.0261
"V558"	0	0	0.5144
"V559"	0	0	0.6636
"V560"	0	0	0.7954
"V561"	-0.3333	-0.3	-0.2987
"V562"	-0.1429	0	-0.0816
"V563"	0	0	-0.0391
"V564"	0	-0.04	-0.0058
"V565"	0	-0.0833	0.4271
"V566"	0	-0.1667	-0.0478
"V567"	0.3684	0.3115	-0.1296
"V568"	0	-0.12	0.1487
"V569"	0	-0.1111	0.1523
"V570"	0.3333	0.1589	-0.0571
"V571"	0	0	0.1719
"V572"	0.0625	-0.1034	-0.1078
"V573"	1	0.1593	0.2018
"V574"	0.625	-0.1111	0.2469
"V575"	0	1	0.7352
"V576"	0.3333	0.0435	0.5437
"V577"	-0.1111	0.7692	0.5589
"V578"	-0.1111	0.5849	0.4732
"V579"	0.6364	-0.1126	-0.0982
"V580"	0	0.6579	0.2667
"V581"	0	-0.0222	0.5219
"V582"	-0.0769	0.6567	-0.0262
"V583"	0	0	-0.0112
"V584"	0	0	-0.0217
"V585"	-0.6667	0	-0.1461
"V586"	0	0	-0.0374
"V587"	-0.1667	0	-0.0036
"V588"	0	-0.3333	0.0036
"V589"	0.1429	-0.3333	0.3659
"V590"	0	0.1579	0.2214
"V591"	0	0.5484	0.2214
"V592"	0	0.5484	0.2454
"V593"	0	-0.0182	-0.0136
"V594"	-0.2069	-0.4019	0.0815
"V595"	0	0	-0.0228
"V596"	0	0	-0.0095
"V597"	-0.2	0	0.158
"V598"	0.0588	0.0277	0.2984
"V599"	0	0.2703	0.4941
"V600"	-0.0667	-0.1163	0.2752
"V601"	-0.0909	0	0.3085
"V602"	0	0	-0.0079
"V603"	0	0	-0.056
"V604"	0	0	0.0753
"V605"	0	0	-0.0227
"V606"	0	0.4286	0.1906
"V607"	0	0.4359	0.486
"V608"	0	0	-0.0244
"V609"	0	0	-0.0575
"V610"	0	-0.1724	0.5287
"V611"	-0.3333	0.4419	0.1335
"V612"	0	0	-0.0612
"V613"	0	0	-0.0196
"V614"	0	-0.0769	0.0379
"V615"	-0.0667	0.037	0.0856
"V616"	0	-0.04	0.158
"V617"	0	-0.0182	-0.014
"V618"	0	0	-0.0326
"V619"	0	-0.0588	0.3804
"V620"	0	0.6512	0.5727
"V621"	0	0	0.5496
"V622"	0	0	0.7376
"V623"	0	-0.1111	0.6401
"V624"	0	0	0.4909
"V625"	0	0	-0.0219
"V626"	0	0	0.6464
"V627"	0	0	-0.0228
"V628"	0	-0.0182	-0.0275
"V629"	0	-0.1111	0.0637
"V630"	0	-0.1034	0.0395
"V631"	-0.0909	-0.1034	0.041
"V632"	-0.2	0.2772	-0.2784
"V633"	0	0	-0.0213
"V634"	0	-0.1034	-0.1163
"V635"	0	0	0.1735
"V636"	-0.0909	-0.0714	-0.1077
"V637"	0	0	-0.0213
"V638"	0	0.4253	0.0576
"V639"	-0.3333	-0.1098	0.3093
"V640"	0	0	-0.0189
"V641"	0	0.4286	0.4874
"V642"	0	0.4359	0.5671
"V643"	-0.1429	0.1165	-0.1132
"V644"	0	-0.0182	-0.0275
"V645"	0	0.6562	0.6384
"V646"	0.5714	-0.0909	0.2259
"V647"	0.5714	-0.0909	0.0484
"V648"	0	0.3036	0.1453
"V649"	0	0.3036	0.2866
"V650"	0	0	-0.0256
"V651"	0	-0.223	0.0995
"V652"	1	-0.3247	0.1024
"V653"	0	0	0.6633
"V654"	0	0	-0.0216
"V655"	0	0	-0.0229
"V656"	0	0	-0.0073
"V657"	0	0	-0.0327
"V658"	0	0	-0.0274
"V659"	0	0	0.7955
"V660"	0.7059	-0.2903	0.0571
"V661"	-0.0667	0	-0.0237
"V662"	-0.2727	0.0059	0.2844
"V663"	-0.2973	-0.2422	-0.0553
"V664"	0	1	0.6646
"V665"	0	0	-0.0377
"V666"	0	-0.04	-0.0235
"V667"	-0.1429	-0.1089	-0.0513
"V668"	0	-0.0588	-0.0338
"V669"	0	0	0.3177
"V670"	0	0.2542	0.2101
"V671"	1	0.3226	0.4874
"V672"	0	0	0.6594
"V673"	0	0	1
"V674"	1	-0.0435	0.2679
"V675"	1	-0.1098	0.3253
"V676"	0.4783	-0.0213	0.0125
"V677"	1	0.2701	0.1335
"V678"	0	0	0.3158
"V679"	0.625	0.3491	-0.0166
"V680"	0	0	-0.0707
"V681"	0	0	-0.0152
"V682"	0	0.0495	0.1229
"V683"	0	-0.0968	-0.0667
"V684"	-0.1111	-0.0714	0.1663
"V685"	0	0	0.267
"V686"	0	0	0.1057
"V687"	-0.2	-0.05	-0.0811
"V688"	0	0.6562	-0.0122
"V689"	0.6316	-0.0612	0.5178
"V690"	-0.0667	0	-0.0553
"V691"	0	-0.0385	-0.0046
"V692"	0	0	0.0119
"V693"	-0.7143	-0.0638	0.1255
"V694"	-0.6667	-0.2941	-0.007
"V695"	0	0.7835	0.8278
"V696"	0	0.4684	0.0843
"V697"	0	0	0.4165
"V698"	0	0.6562	0.3454
"V699"	0	0	0.3183
"V700"	0	0	0.165
"V701"	-0.0667	0.4766	0.2977
"V702"	0	0.4725	0.5599
"V703"	0.0588	0.1344	0.1204
"V704"	0	0	0.318
"V705"	0	-0.0233	-0.0196
"V706"	0	-0.0182	0.0628
"V707"	-0.0667	-0.12	0.0946
"V708"	-0.2308	-0.3023	-0.1209
"V709"	-0.1429	0	-0.0427
"V710"	-0.7778	-0.7053	-0.6822
"V711"	0	-0.037	-0.0516
"V712"	0	0	-0.0228
"V713"	-0.1429	-0.1915	-0.0543
"V714"	0	-0.0769	-0.0091
"V715"	-0.1111	-0.3103	-0.2245
"V716"	0.7273	0.0345	-0.25
"V717"	0	-0.1053	-0.2434
"V718"	0	0	-0.0263
"V719"	0	0	-0.0263
"V720"	0	-0.0435	-0.0196
"V721"	-0.1429	-0.2308	-0.056
"V722"	0.3333	0.1373	0.2663
"V723"	0	0	-0.0414
"V724"	0	0.3491	0.2396
"V725"	0	-0.0182	-0.0182
"V726"	0.625	0.7792	0.5197
"V727"	0.2174	0.1119	0.2778
"V728"	-0.0909	0	0.3145
"V729"	0	1	0.7963
"V730"	0	0	0.5579
"V731"	0	0	-0.0316
"V732"	0.0625	0.12	0.4806
"V733"	0.3913	0.2464	0.1307
"V734"	0.3913	0.1875	0.1307
"V735"	0	0.5	0.5523
"V736"	0	0	0.5446
"V737"	0	-0.04	0.5061
"V738"	0	-0.0286	-0.04
"V739"	0	-0.0556	-0.0282
"V740"	-0.1111	0	0.212
"V741"	0	-0.0625	-0.0606
"V742"	0	0	-0.0149
"V743"	-0.0667	-0.0182	-0.037
"V744"	-0.3333	-0.3913	-0.2712
"V745"	0	0	-0.0505
"V746"	-1	-0.4737	-0.3541
"V747"	0	-0.0476	-0.0625
"V748"	0.2727	-0.26	-0.3805
"V749"	0.1429	0	-0.1828
"V750"	1	-0.0476	-0.1136
"V751"	1	0	-0.0426
"V752"	0	0	-0.0417
"V753"	0	0	-0.0229
"V754"	0	0	-0.0152
"V755"	0	0	-0.0323
"V756"	0	-0.0769	-0.0505
"V757"	0	0	-0.0625
"V758"	-0.2	-0.013	-0.0784
"V759"	0	0	-0.0222
"V760"	0	-0.0189	-0.0377
"V761"	0	0	-0.0237
"V762"	0	-0.037	0.1663
"V763"	0	0	0.5506
"V764"	0.625	0	0.4198
"V765"	0	0	0.3156
"V766"	0	-0.0222	-0.0751
"V767"	0	0	-0.0476
"V768"	-0.4	0.0284	-0.118
"V769"	0	-0.0769	0.1243
"V770"	-0.1429	-0.0974	-0.0658
"V771"	0	0	-0.0296
"V772"	0	0	-0.0339
"V773"	0	0	0.1089
"V774"	-0.2	-0.3043	-0.2499
"V775"	0	-0.3636	-0.0587
"V776"	-0.3333	-0.3069	-0.328
"V777"	0	-0.2308	-0.0918
"V778"	1	0	-0.0496
"V779"	0.5714	-0.3077	-0.2516
"V780"	-0.1111	-0.1818	0.0791
"V781"	0	-0.0833	-0.034
"V782"	0	0	-0.0137
"V783"	-0.2727	0.5294	-0.0432
"V784"	0	-0.0182	-0.037
"V785"	0	-0.1489	-0.12
"V786"	0.6154	0	-0.0186
"V787"	0.3333	0.2143	0.2072
"V788"	0	0	0.314
"V789"	0	-0.4286	-0.2888
"V790"	-0.3333	-0.1818	-0.1643
"V791"	0	-0.0909	-0.1028
"V792"	0	0	-0.0179
"V793"	0	-0.1429	-0.1176
"V794"	0	-0.1429	-0.1158
"V795"	0	0	-0.037
"V796"	0	0	-0.028
"V797"	0	0	0
"V798"	0	0	-0.0196
"V799"	0	0	0.6627
"V800"	1	0.2941	0.5472
